time,open,high,low,close
2009-04-01,0.208,0.208,0.208,0.208
2009-04-02,0.213,0.213,0.213,0.213
2009-04-06,0.193,0.193,0.193,0.193
2009-04-07,0.198,0.198,0.198,0.198
2009-04-08,0.183,0.183,0.183,0.183
2009-04-13,0.177,0.177,0.177,0.177
2009-04-14,0.177,0.177,0.177,0.177
2009-04-15,0.152,0.152,0.152,0.152
2009-04-16,0.13699999,0.13699999,0.13699999,0.13699999
2009-04-20,0.132,0.132,0.132,0.132
2009-04-21,0.152,0.152,0.152,0.152
2009-04-22,0.13699999,0.13699999,0.13699999,0.13699999
2009-04-23,0.106,0.106,0.106,0.106
2009-04-27,0.096,0.096,0.096,0.096
2009-04-28,0.127,0.127,0.127,0.127
2009-04-29,0.101,0.101,0.101,0.101
2009-04-30,0.132,0.132,0.132,0.132
2009-05-04,0.18799999,0.18799999,0.18799999,0.18799999
2009-05-05,0.193,0.193,0.193,0.193
2009-05-06,0.18799999,0.18799999,0.18799999,0.18799999
2009-05-07,0.18799999,0.18799999,0.18799999,0.18799999
2009-05-11,0.17,0.17,0.17,0.17
2009-05-12,0.18799999,0.18799999,0.18799999,0.18799999
2009-05-13,0.177,0.177,0.177,0.177
2009-05-14,0.162,0.162,0.162,0.162
2009-05-18,0.17200001,0.17200001,0.17200001,0.17200001
2009-05-19,0.183,0.183,0.183,0.183
2009-05-20,0.183,0.183,0.183,0.183
2009-05-21,0.183,0.183,0.183,0.183
2009-05-26,0.177,0.177,0.177,0.177
2009-05-27,0.162,0.162,0.162,0.162
2009-05-28,0.145,0.145,0.145,0.145
2009-06-01,0.099,0.099,0.099,0.099
2009-06-02,0.134,0.134,0.134,0.134
2009-06-03,0.132,0.132,0.132,0.132
2009-06-04,0.15000001,0.15000001,0.15000001,0.15000001
2009-06-08,0.18000001,0.18000001,0.18000001,0.18000001
2009-06-09,0.183,0.183,0.183,0.183
2009-06-10,0.177,0.177,0.177,0.177
2009-06-11,0.177,0.177,0.177,0.177
2009-06-15,0.162,0.162,0.162,0.162
2009-06-16,0.175,0.175,0.175,0.175
2009-06-17,0.17200001,0.17200001,0.17200001,0.17200001
2009-06-18,0.177,0.177,0.177,0.177
2009-06-22,0.193,0.193,0.193,0.193
2009-06-23,0.205,0.205,0.205,0.205
2009-06-24,0.198,0.198,0.198,0.198
2009-06-25,0.17200001,0.17200001,0.17200001,0.17200001
2009-06-29,0.183,0.183,0.183,0.183
2009-06-30,0.193,0.193,0.193,0.193
2009-07-01,0.17200001,0.17200001,0.17200001,0.17200001
2009-07-06,0.162,0.162,0.162,0.162
2009-07-07,0.18799999,0.18799999,0.18799999,0.18799999
2009-07-08,0.185,0.185,0.185,0.185
2009-07-09,0.183,0.183,0.183,0.183
2009-07-13,0.183,0.183,0.183,0.183
2009-07-14,0.183,0.183,0.183,0.183
2009-07-15,0.183,0.183,0.183,0.183
2009-07-16,0.17200001,0.17200001,0.17200001,0.17200001
2009-07-20,0.17200001,0.17200001,0.17200001,0.17200001
2009-07-21,0.18799999,0.18799999,0.18799999,0.18799999
2009-07-22,0.18799999,0.18799999,0.18799999,0.18799999
2009-07-23,0.18799999,0.18799999,0.18799999,0.18799999
2009-07-27,0.193,0.193,0.193,0.193
2009-07-28,0.198,0.198,0.198,0.198
2009-07-29,0.20299999,0.20299999,0.20299999,0.20299999
2009-07-30,0.185,0.185,0.185,0.185
2009-08-03,0.193,0.193,0.193,0.193
2009-08-04,0.185,0.185,0.185,0.185
2009-08-05,0.183,0.183,0.183,0.183
2009-08-06,0.175,0.175,0.175,0.175
2009-08-10,0.167,0.167,0.167,0.167
2009-08-11,0.025,0.19,0.013,0.18799999
2009-08-12,0.213,0.213,0.15700001,0.183
2009-08-13,0.18799999,0.18799999,0.17200001,0.175
2009-08-17,0.183,0.183,0.17200001,0.177
2009-08-18,0.185,0.185,0.185,0.185
2009-08-19,0.167,0.167,0.167,0.167
2009-08-20,0.16500001,0.16500001,0.16500001,0.16500001
2009-08-24,0.162,0.162,0.162,0.162
2009-08-25,0.16500001,0.16500001,0.16500001,0.16500001
2009-08-26,0.15700001,0.15700001,0.15700001,0.15700001
2009-08-27,0.147,0.147,0.147,0.147
2009-08-31,0.142,0.142,0.142,0.142
2009-09-01,0.142,0.142,0.142,0.142
2009-09-02,0.13699999,0.13699999,0.13699999,0.13699999
2009-09-03,0.13699999,0.13699999,0.13699999,0.13699999
2009-09-08,0.134,0.134,0.134,0.134
2009-09-09,0.147,0.147,0.147,0.147
2009-09-10,0.145,0.145,0.145,0.145
2009-09-14,0.13699999,0.13699999,0.13699999,0.13699999
2009-09-15,0.134,0.134,0.134,0.134
2009-09-16,0.117,0.117,0.117,0.117
2009-09-17,0.099,0.099,0.099,0.099
2009-09-21,0.094,0.094,0.094,0.094
2009-09-22,0.106,0.106,0.106,0.106
2009-09-23,0.101,0.101,0.101,0.101
2009-09-24,0.096,0.096,0.096,0.096
2009-09-28,0.099,0.099,0.099,0.099
2009-09-29,0.127,0.127,0.127,0.127
2009-09-30,0.127,0.127,0.127,0.127
2009-10-01,0.101,0.101,0.101,0.101
2009-10-05,0.096,0.096,0.096,0.096
2009-10-06,0.076,0.076,0.076,0.076
2009-10-07,0.086,0.086,0.086,0.086
2009-10-08,0.066,0.066,0.066,0.066
2009-10-13,0.066,0.066,0.066,0.066
2009-10-14,0.061,0.061,0.061,0.061
2009-10-15,0.063,0.063,0.063,0.063
2009-10-19,0.068,0.068,0.068,0.068
2009-10-20,0.084,0.084,0.084,0.084
2009-10-21,0.071,0.071,0.071,0.071
2009-10-22,0.053,0.053,0.053,0.053
2009-10-26,0.056,0.056,0.056,0.056
2009-10-27,0.076,0.076,0.076,0.076
2009-10-28,0.071,0.071,0.071,0.071
2009-10-29,0.058,0.058,0.058,0.058
2009-11-02,0.051,0.051,0.051,0.051
2009-11-03,0.053,0.053,0.053,0.053
2009-11-04,0.051,0.051,0.051,0.051
2009-11-05,0.041,0.041,0.041,0.041
2009-11-09,0.053,0.053,0.053,0.053
2009-11-10,0.066,0.066,0.066,0.066
2009-11-12,0.063,0.063,0.063,0.063
2009-11-16,0.058,0.058,0.058,0.058
2009-11-17,0.063,0.063,0.063,0.063
2009-11-18,0.03,0.03,0.03,0.03
2009-11-19,0.02,0.02,0.02,0.02
2009-11-23,0.025,0.025,0.025,0.025
2009-11-24,0.041,0.086,0.041,0.046
2009-11-30,0.028,0.058,0.025,0.056
2009-12-01,0.056,0.056,0.056,0.056
2009-12-02,0.046,0.046,0.046,0.046
2009-12-03,0.048,0.048,0.048,0.048
2009-12-07,0.023,0.023,0.023,0.023
2009-12-08,0.025,0.025,0.025,0.025
2009-12-09,0.033,0.033,0.033,0.033
2009-12-10,0.028,0.028,0.028,0.028
2009-12-14,0.03,0.03,0.03,0.03
2009-12-15,0.046,0.046,0.046,0.046
2009-12-16,0.041,0.041,0.041,0.041
2009-12-17,0.043,0.043,0.043,0.043
2009-12-21,0.051,0.051,0.051,0.051
2009-12-22,0.076,0.076,0.076,0.076
2009-12-23,0.066,0.066,0.066,0.066
2009-12-28,0.063,0.063,0.063,0.063
2009-12-29,0.101,0.101,0.101,0.101
2009-12-30,0.043,0.043,0.043,0.043
2010-01-04,0.063,0.063,0.063,0.063
2010-01-05,0.066,0.066,0.066,0.066
2010-01-06,0.056,0.056,0.056,0.056
2010-01-07,0.053,0.053,0.053,0.053
2010-01-11,0.033,0.033,0.033,0.033
2010-01-12,0.048,0.048,0.048,0.048
2010-01-13,0.056,0.056,0.056,0.056
2010-01-14,0.053,0.053,0.053,0.053
2010-01-19,0.058,0.058,0.058,0.058
2010-01-20,0.053,0.053,0.053,0.053
2010-01-21,0.051,0.051,0.051,0.051
2010-01-25,0.051,0.051,0.051,0.051
2010-01-26,0.071,0.071,0.071,0.071
2010-01-27,0.076,0.076,0.076,0.076
2010-01-28,0.079,0.079,0.079,0.079
2010-02-01,0.091,0.091,0.091,0.091
2010-02-02,0.099,0.099,0.099,0.099
2010-02-03,0.101,0.101,0.101,0.101
2010-02-04,0.091,0.091,0.091,0.091
2010-02-08,0.099,0.099,0.099,0.099
2010-02-09,0.109,0.109,0.109,0.109
2010-02-10,0.106,0.106,0.106,0.106
2010-02-11,0.101,0.101,0.101,0.101
2010-02-16,0.094,0.094,0.094,0.094
2010-02-17,0.099,0.099,0.099,0.099
2010-02-18,0.101,0.101,0.101,0.101
